id,content_method,context_method,access_method,content_class_contain,context_class_contain,content_class_target,context_class_target,tag,move_tag
1,get  Source  Indent,Javadoc  Generator String, get  Start  Position  get  Parent  get  Kind  get  Parent  get  Source  char  At  is  Whitespace  substring  index  Of  length  substring  substring,Javadoc  Generator,spanning  Pre  Tag  spanning  Style  Tag  html  Entities Javadoc  Generator  print  Doc  Comment  to  String  to  String  print  Doc  Comment  print  Doc  Line  print  Tag  format  Link  Tag  has  Type  Param  print  Tag  Fragments  escape  Code  Text  escape  Doc  Text  escape  Html  Text  skip  Style  Tag,Tree  Node,owner  start  Position  length  line  Number  Kind Tree  Node  Tree  Node  get  Kind  get  Parent  set  Owner  remove  replace  With  get  Start  Position  get  Length  set  Source  Range  get  Line  Number  set  Line  Number  accept  accept  Inner  copy  validate  pre  Visit  validate  Inner  set  Position  to  String,0,0
2,get  Source  Indent,Javadoc  Generator String, get  Start  Position  get  Parent  get  Kind  get  Parent  get  Source  char  At  is  Whitespace  substring  index  Of  length  substring  substring,Tree  Node,owner  start  Position  length  line  Number  Kind Tree  Node  Tree  Node  get  Kind  get  Parent  set  Owner  remove  replace  With  get  Start  Position  get  Length  set  Source  Range  get  Line  Number  set  Line  Number  accept  accept  Inner  copy  validate  pre  Visit  validate  Inner  set  Position  to  String,Javadoc  Generator,spanning  Pre  Tag  spanning  Style  Tag  html  Entities Javadoc  Generator  print  Doc  Comment  to  String  to  String  print  Doc  Comment  print  Doc  Line  print  Tag  format  Link  Tag  has  Type  Param  print  Tag  Fragments  escape  Code  Text  escape  Doc  Text  escape  Html  Text  skip  Style  Tag,1,1
3,needs  Parentheses  For  Macro,Statement  Generator boolean, accept,Statement  Generator,buffer generate  Statement  Generator  get  Result  print  Method  Invocation  Name  And  Args  pre  Visit  visit  visit  visit  visit  visit  visit  visit  print  Statements  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  print  Multi  Catch  visit  visit  visit  visit  visit  visit  visit  accept  Macro  Argument,Expression,constant  Value Expression  Expression  get  Type  Mirror  get  Constant  Value  set  Constant  Value  copy  visit  visit  visit  visit,0,0
4,needs  Parentheses  For  Macro,Statement  Generator boolean, accept,Expression,constant  Value Expression  Expression  get  Type  Mirror  get  Constant  Value  set  Constant  Value  copy  visit  visit  visit  visit,Statement  Generator,buffer generate  Statement  Generator  get  Result  print  Method  Invocation  Name  And  Args  pre  Visit  visit  visit  visit  visit  visit  visit  visit  print  Statements  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  visit  print  Multi  Catch  visit  visit  visit  visit  visit  visit  visit  accept  Macro  Argument,1,1
5,are  Parameters  Nonnull  By  Default,Element  Element  Util boolean, has  Annotation  get  Package  has  Annotation  to  String  get  Qualified  Name  has  Parameters  Are  Nonnull  By  Default  get  Package  Info  Lookup,Element  Util,acc  bridge  acc  varargs  acc  synthetic  acc  annotation  acc  enum  acc  anonymous  acc  flag  mask  visibility  modifiers  lazy  init  nullable  pattern  nonnull  pattern  javac  Elements  element  Type  Map Element  Util  get  Name  get  Qualified  Name  is  Named  is  Static  is  Default  is  Final  is  Public  is  Private  is  Volatile  is  Top  Level  is  Anonymous  is  Local  is  Lambda  is  Interface  is  Annotation  Type  is  Enum  is  Enum  Constant  is  Package  is  Type  Element  is  Executable  Element  is  Type  Parameter  Element  is  Annotation  Member  get  Declaring  Class  get  Superclass  get  Interfaces  is  Primitive  Constant  is  Constant  is  String  Constant  is  Global  Var  is  Instance  Var  is  Nonnull  get  Type  Qualifiers  is  Abstract  is  Native  is  Synchronized  is  Synthetic  is  Synthetic  get  Header  is  Ios  Type  get  Selector  is  Package  Info  is  Private  Inner  Type  has  Outer  Context  has  Modifier  is  Variable  is  Field  is  Parameter  is  Local  Variable  is  Method  is  Constructor  is  Instance  Method  is  Weak  Reference  is  Weak  Outer  Type  has  Weak  Property  Attribute  parse  Property  Attribute  is  Retained  With  Field  filter  Enclosed  Elements  get  Methods  get  Constructors  get  Executables  get  Declared  Fields  get  Declared  Types  params  Match  find  Method  find  Getter  Method  find  Setter  Method  find  Constructor  find  Field  as  Types  overrides  get  Package  get  Package  Name  get  Parent  Package  get  Binary  Name  get  Element  Values  With  Defaults  get  Visibility  Modifiers  from  Modifier  Set  is  Runtime  Annotation  is  Runtime  Annotation  is  Generated  Annotation  is  Generated  Annotation  has  Retention  Policy  get  Annotation  has  Annotation  has  Named  Annotation  has  Named  Annotation  has  Qualified  Named  Annotation  get  Qualified  Named  Annotation  get  All  Annotations  has  Nullable  Annotation  has  Nonnull  Annotation  has  Nullability  Annotation  get  Annotation  Value  get  Sorted  Annotation  Members  suppresses  Warning  map  Element  Type  get  Type  is  Nonnull  get  Source  File,Options,processor  Path  Entries  language  memory  Management  Option  emit  Line  Directives  warnings  As  Errors  deprecated  Declarations  header  Map  strip  Gwt  Incompatible  segmented  Headers  jsni  Warnings  build  Closure  included  Metadata  emit  Wrapper  Methods  extract  Unsequenced  Modifications  doc  Comments  Enabled  static  Accessor  Methods  class  Properties  processors  disallow  Inherited  Constructors  nullability  default  Nonnull  timing  Level  dump  A  S  T  lint  Argument  report  Javadoc  Warnings  translate  Bootclasspath  translate  Classfiles  annotations  Jar  global  Combined  Output  bootclasspath  emit  Kythe  Mappings  emit  Source  Headers  mappings  file  Util  package  Info  Lookup  package  Prefixes  external  Annotations  entry  Classes  source  Version  pro  Guard  Usage  File  file  Header  file  header  key  usage  Message  help  Message  xhelp  Message  usage  msg  key  help  msg  key  x  help  msg  key  xbootclasspath  timing  info  arg  known  file  suffix  pattern  obsolete  Flags  batch  processing  max  flag  Memory  Management  Option  Output  Language  Option  suffix  header  Suffix  Timing  Level  Metadata  Support  Emit  Line  Directives  Option  Combined  Output  output  Name  combined  Unit  platform  module  system  options  platform  Module  System  Options  Arg  Processor  source  Files Output  Language  Option  suffix  header  Suffix  Combined  Output  global  Combined  Output  Name  global  Generation  Unit  global  Combined  Output  set  Global  Combined  Output  set  Log  Level  is  Verbose  load  process  Args  process  Args  File  get  Arg  Value  process  Arg  post  Process  Args  post  Process  Source  Version  has  Known  File  Suffix  add  Prefix  Option  check  Memory  Management  Option  usage  help  xhelp  version  get  Path  Argument  file  Util  doc  Comments  Enabled  set  Doc  Comments  Enabled  get  Processor  Path  Entries  get  Language  set  Output  Language  use  Reference  Counting  use  A  R  C  get  Memory  Management  Option  set  Memory  Management  Option  emit  Line  Directives  set  Emit  Line  Directives  emit  Relative  Line  Directives  set  Emit  Relative  Line  Directives  treat  Warnings  As  Errors  enable  Deprecated  Declarations  generate  Deprecated  Declarations  get  Header  Map  get  Usage  Message  get  Help  Message  get  File  Header  set  Pro  Guard  Usage  File  get  Pro  Guard  Usage  File  get  Boot  Classpath  get  Mappings  get  Package  Info  Lookup  get  Package  Prefixes  strip  Gwt  Incompatible  Methods  set  Strip  Gwt  Incompatible  Methods  generate  Segmented  Headers  set  Segmented  Headers  jsni  Warnings  set  Jsni  Warnings  build  Closure  set  Build  Closure  strip  Reflection  set  Strip  Reflection  strip  Enum  Constants  set  Strip  Enum  Constants  strip  Name  Mapping  set  Strip  Name  Mapping  set  Strip  All  Reflection  emit  Wrapper  Methods  set  Emit  Wrapper  Methods  extract  Unsequenced  Modifications  enable  Extract  Unsequenced  Modifications  get  Source  Version  set  Source  Version  static  Accessor  Methods  set  Static  Accessor  Methods  class  Properties  set  Class  Properties  get  Processors  set  Processors  disallow  Inherited  Constructors  set  Disallow  Inherited  Constructors  set  Swift  Friendly  nullability  set  Nullability  default  Nonnull  set  Default  Nonnull  lint  Argument  timing  Level  dump  A  S  T  report  Javadoc  Warnings  translate  Bootclasspath  Files  emit  Kythe  Mappings  set  Emit  Kythe  Mappings  emit  Source  Headers  set  Emit  Source  Headers  external  Annotations  add  External  Annotation  File  translate  Classfiles  set  Translate  Classfiles  entry  Classes  add  Platform  Module  System  Options  get  Platform  Module  System  Options,0,0
6,are  Parameters  Nonnull  By  Default,Element  Element  Util boolean, has  Annotation  get  Package  has  Annotation  to  String  get  Qualified  Name  has  Parameters  Are  Nonnull  By  Default  get  Package  Info  Lookup,Options,processor  Path  Entries  language  memory  Management  Option  emit  Line  Directives  warnings  As  Errors  deprecated  Declarations  header  Map  strip  Gwt  Incompatible  segmented  Headers  jsni  Warnings  build  Closure  included  Metadata  emit  Wrapper  Methods  extract  Unsequenced  Modifications  doc  Comments  Enabled  static  Accessor  Methods  class  Properties  processors  disallow  Inherited  Constructors  nullability  default  Nonnull  timing  Level  dump  A  S  T  lint  Argument  report  Javadoc  Warnings  translate  Bootclasspath  translate  Classfiles  annotations  Jar  global  Combined  Output  bootclasspath  emit  Kythe  Mappings  emit  Source  Headers  mappings  file  Util  package  Info  Lookup  package  Prefixes  external  Annotations  entry  Classes  source  Version  pro  Guard  Usage  File  file  Header  file  header  key  usage  Message  help  Message  xhelp  Message  usage  msg  key  help  msg  key  x  help  msg  key  xbootclasspath  timing  info  arg  known  file  suffix  pattern  obsolete  Flags  batch  processing  max  flag  Memory  Management  Option  Output  Language  Option  suffix  header  Suffix  Timing  Level  Metadata  Support  Emit  Line  Directives  Option  Combined  Output  output  Name  combined  Unit  platform  module  system  options  platform  Module  System  Options  Arg  Processor  source  Files Output  Language  Option  suffix  header  Suffix  Combined  Output  global  Combined  Output  Name  global  Generation  Unit  global  Combined  Output  set  Global  Combined  Output  set  Log  Level  is  Verbose  load  process  Args  process  Args  File  get  Arg  Value  process  Arg  post  Process  Args  post  Process  Source  Version  has  Known  File  Suffix  add  Prefix  Option  check  Memory  Management  Option  usage  help  xhelp  version  get  Path  Argument  file  Util  doc  Comments  Enabled  set  Doc  Comments  Enabled  get  Processor  Path  Entries  get  Language  set  Output  Language  use  Reference  Counting  use  A  R  C  get  Memory  Management  Option  set  Memory  Management  Option  emit  Line  Directives  set  Emit  Line  Directives  emit  Relative  Line  Directives  set  Emit  Relative  Line  Directives  treat  Warnings  As  Errors  enable  Deprecated  Declarations  generate  Deprecated  Declarations  get  Header  Map  get  Usage  Message  get  Help  Message  get  File  Header  set  Pro  Guard  Usage  File  get  Pro  Guard  Usage  File  get  Boot  Classpath  get  Mappings  get  Package  Info  Lookup  get  Package  Prefixes  strip  Gwt  Incompatible  Methods  set  Strip  Gwt  Incompatible  Methods  generate  Segmented  Headers  set  Segmented  Headers  jsni  Warnings  set  Jsni  Warnings  build  Closure  set  Build  Closure  strip  Reflection  set  Strip  Reflection  strip  Enum  Constants  set  Strip  Enum  Constants  strip  Name  Mapping  set  Strip  Name  Mapping  set  Strip  All  Reflection  emit  Wrapper  Methods  set  Emit  Wrapper  Methods  extract  Unsequenced  Modifications  enable  Extract  Unsequenced  Modifications  get  Source  Version  set  Source  Version  static  Accessor  Methods  set  Static  Accessor  Methods  class  Properties  set  Class  Properties  get  Processors  set  Processors  disallow  Inherited  Constructors  set  Disallow  Inherited  Constructors  set  Swift  Friendly  nullability  set  Nullability  default  Nonnull  set  Default  Nonnull  lint  Argument  timing  Level  dump  A  S  T  report  Javadoc  Warnings  translate  Bootclasspath  Files  emit  Kythe  Mappings  set  Emit  Kythe  Mappings  emit  Source  Headers  set  Emit  Source  Headers  external  Annotations  add  External  Annotation  File  translate  Classfiles  set  Translate  Classfiles  entry  Classes  add  Platform  Module  System  Options  get  Platform  Module  System  Options,Element  Util,acc  bridge  acc  varargs  acc  synthetic  acc  annotation  acc  enum  acc  anonymous  acc  flag  mask  visibility  modifiers  lazy  init  nullable  pattern  nonnull  pattern  javac  Elements  element  Type  Map Element  Util  get  Name  get  Qualified  Name  is  Named  is  Static  is  Default  is  Final  is  Public  is  Private  is  Volatile  is  Top  Level  is  Anonymous  is  Local  is  Lambda  is  Interface  is  Annotation  Type  is  Enum  is  Enum  Constant  is  Package  is  Type  Element  is  Executable  Element  is  Type  Parameter  Element  is  Annotation  Member  get  Declaring  Class  get  Superclass  get  Interfaces  is  Primitive  Constant  is  Constant  is  String  Constant  is  Global  Var  is  Instance  Var  is  Nonnull  get  Type  Qualifiers  is  Abstract  is  Native  is  Synchronized  is  Synthetic  is  Synthetic  get  Header  is  Ios  Type  get  Selector  is  Package  Info  is  Private  Inner  Type  has  Outer  Context  has  Modifier  is  Variable  is  Field  is  Parameter  is  Local  Variable  is  Method  is  Constructor  is  Instance  Method  is  Weak  Reference  is  Weak  Outer  Type  has  Weak  Property  Attribute  parse  Property  Attribute  is  Retained  With  Field  filter  Enclosed  Elements  get  Methods  get  Constructors  get  Executables  get  Declared  Fields  get  Declared  Types  params  Match  find  Method  find  Getter  Method  find  Setter  Method  find  Constructor  find  Field  as  Types  overrides  get  Package  get  Package  Name  get  Parent  Package  get  Binary  Name  get  Element  Values  With  Defaults  get  Visibility  Modifiers  from  Modifier  Set  is  Runtime  Annotation  is  Runtime  Annotation  is  Generated  Annotation  is  Generated  Annotation  has  Retention  Policy  get  Annotation  has  Annotation  has  Named  Annotation  has  Named  Annotation  has  Qualified  Named  Annotation  get  Qualified  Named  Annotation  get  All  Annotations  has  Nullable  Annotation  has  Nonnull  Annotation  has  Nullability  Annotation  get  Annotation  Value  get  Sorted  Annotation  Members  suppresses  Warning  map  Element  Type  get  Type  is  Nonnull  get  Source  File,1,1
7,get  Jre  Emul  Class  Path,Options U  R  L  Class  Loader, get  Boot  Classpath  matches  add  to  U  R  L  to  U  R  I  to  Array,Translation  Util,type  Util  name  Table  options  element  Util  jre  Emul  Loader Translation  Util  get  Super  Type  get  Interface  Types  needs  Reflection  needs  Reflection  needs  Reflection  needs  Reflection  is  J  Unit  Test  Class  is  J  Unit  Test  Class  is  J  Unit  Test  Class  get  Reflection  Support  Level  On  Package  get  Reflection  Support  Level  retain  Result  is  Assigned  has  Side  Effect  get  Operator  Function  Modifier  create  Object  Array  create  Annotation  create  Annotation  Value  generate  Implementation,Options,processor  Path  Entries  language  memory  Management  Option  emit  Line  Directives  warnings  As  Errors  deprecated  Declarations  header  Map  strip  Gwt  Incompatible  segmented  Headers  jsni  Warnings  build  Closure  included  Metadata  emit  Wrapper  Methods  extract  Unsequenced  Modifications  doc  Comments  Enabled  static  Accessor  Methods  class  Properties  processors  disallow  Inherited  Constructors  nullability  default  Nonnull  timing  Level  dump  A  S  T  lint  Argument  report  Javadoc  Warnings  translate  Bootclasspath  translate  Classfiles  annotations  Jar  global  Combined  Output  bootclasspath  emit  Kythe  Mappings  emit  Source  Headers  mappings  file  Util  package  Info  Lookup  package  Prefixes  external  Annotations  entry  Classes  source  Version  pro  Guard  Usage  File  file  Header  file  header  key  usage  Message  help  Message  xhelp  Message  usage  msg  key  help  msg  key  x  help  msg  key  xbootclasspath  timing  info  arg  known  file  suffix  pattern  obsolete  Flags  batch  processing  max  flag  Memory  Management  Option  Output  Language  Option  suffix  header  Suffix  Timing  Level  Metadata  Support  Emit  Line  Directives  Option  Combined  Output  output  Name  combined  Unit  platform  module  system  options  platform  Module  System  Options  Arg  Processor  source  Files are  Parameters  Nonnull  By  Default  Output  Language  Option  suffix  header  Suffix  Combined  Output  global  Combined  Output  Name  global  Generation  Unit  global  Combined  Output  set  Global  Combined  Output  set  Log  Level  is  Verbose  load  process  Args  process  Args  File  get  Arg  Value  process  Arg  post  Process  Args  post  Process  Source  Version  has  Known  File  Suffix  add  Prefix  Option  check  Memory  Management  Option  usage  help  xhelp  version  get  Path  Argument  file  Util  doc  Comments  Enabled  set  Doc  Comments  Enabled  get  Processor  Path  Entries  get  Language  set  Output  Language  use  Reference  Counting  use  A  R  C  get  Memory  Management  Option  set  Memory  Management  Option  emit  Line  Directives  set  Emit  Line  Directives  emit  Relative  Line  Directives  set  Emit  Relative  Line  Directives  treat  Warnings  As  Errors  enable  Deprecated  Declarations  generate  Deprecated  Declarations  get  Header  Map  get  Usage  Message  get  Help  Message  get  File  Header  set  Pro  Guard  Usage  File  get  Pro  Guard  Usage  File  get  Boot  Classpath  get  Mappings  get  Package  Info  Lookup  get  Package  Prefixes  strip  Gwt  Incompatible  Methods  set  Strip  Gwt  Incompatible  Methods  generate  Segmented  Headers  set  Segmented  Headers  jsni  Warnings  set  Jsni  Warnings  build  Closure  set  Build  Closure  strip  Reflection  set  Strip  Reflection  strip  Enum  Constants  set  Strip  Enum  Constants  strip  Name  Mapping  set  Strip  Name  Mapping  set  Strip  All  Reflection  emit  Wrapper  Methods  set  Emit  Wrapper  Methods  extract  Unsequenced  Modifications  enable  Extract  Unsequenced  Modifications  get  Source  Version  set  Source  Version  static  Accessor  Methods  set  Static  Accessor  Methods  class  Properties  set  Class  Properties  get  Processors  set  Processors  disallow  Inherited  Constructors  set  Disallow  Inherited  Constructors  set  Swift  Friendly  nullability  set  Nullability  default  Nonnull  set  Default  Nonnull  lint  Argument  timing  Level  dump  A  S  T  report  Javadoc  Warnings  translate  Bootclasspath  Files  emit  Kythe  Mappings  set  Emit  Kythe  Mappings  emit  Source  Headers  set  Emit  Source  Headers  external  Annotations  add  External  Annotation  File  translate  Classfiles  set  Translate  Classfiles  entry  Classes  add  Platform  Module  System  Options  get  Platform  Module  System  Options,0,0
8,get  Jre  Emul  Class  Path,Options U  R  L  Class  Loader, get  Boot  Classpath  matches  add  to  U  R  L  to  U  R  I  to  Array,Options,processor  Path  Entries  language  memory  Management  Option  emit  Line  Directives  warnings  As  Errors  deprecated  Declarations  header  Map  strip  Gwt  Incompatible  segmented  Headers  jsni  Warnings  build  Closure  included  Metadata  emit  Wrapper  Methods  extract  Unsequenced  Modifications  doc  Comments  Enabled  static  Accessor  Methods  class  Properties  processors  disallow  Inherited  Constructors  nullability  default  Nonnull  timing  Level  dump  A  S  T  lint  Argument  report  Javadoc  Warnings  translate  Bootclasspath  translate  Classfiles  annotations  Jar  global  Combined  Output  bootclasspath  emit  Kythe  Mappings  emit  Source  Headers  mappings  file  Util  package  Info  Lookup  package  Prefixes  external  Annotations  entry  Classes  source  Version  pro  Guard  Usage  File  file  Header  file  header  key  usage  Message  help  Message  xhelp  Message  usage  msg  key  help  msg  key  x  help  msg  key  xbootclasspath  timing  info  arg  known  file  suffix  pattern  obsolete  Flags  batch  processing  max  flag  Memory  Management  Option  Output  Language  Option  suffix  header  Suffix  Timing  Level  Metadata  Support  Emit  Line  Directives  Option  Combined  Output  output  Name  combined  Unit  platform  module  system  options  platform  Module  System  Options  Arg  Processor  source  Files are  Parameters  Nonnull  By  Default  Output  Language  Option  suffix  header  Suffix  Combined  Output  global  Combined  Output  Name  global  Generation  Unit  global  Combined  Output  set  Global  Combined  Output  set  Log  Level  is  Verbose  load  process  Args  process  Args  File  get  Arg  Value  process  Arg  post  Process  Args  post  Process  Source  Version  has  Known  File  Suffix  add  Prefix  Option  check  Memory  Management  Option  usage  help  xhelp  version  get  Path  Argument  file  Util  doc  Comments  Enabled  set  Doc  Comments  Enabled  get  Processor  Path  Entries  get  Language  set  Output  Language  use  Reference  Counting  use  A  R  C  get  Memory  Management  Option  set  Memory  Management  Option  emit  Line  Directives  set  Emit  Line  Directives  emit  Relative  Line  Directives  set  Emit  Relative  Line  Directives  treat  Warnings  As  Errors  enable  Deprecated  Declarations  generate  Deprecated  Declarations  get  Header  Map  get  Usage  Message  get  Help  Message  get  File  Header  set  Pro  Guard  Usage  File  get  Pro  Guard  Usage  File  get  Boot  Classpath  get  Mappings  get  Package  Info  Lookup  get  Package  Prefixes  strip  Gwt  Incompatible  Methods  set  Strip  Gwt  Incompatible  Methods  generate  Segmented  Headers  set  Segmented  Headers  jsni  Warnings  set  Jsni  Warnings  build  Closure  set  Build  Closure  strip  Reflection  set  Strip  Reflection  strip  Enum  Constants  set  Strip  Enum  Constants  strip  Name  Mapping  set  Strip  Name  Mapping  set  Strip  All  Reflection  emit  Wrapper  Methods  set  Emit  Wrapper  Methods  extract  Unsequenced  Modifications  enable  Extract  Unsequenced  Modifications  get  Source  Version  set  Source  Version  static  Accessor  Methods  set  Static  Accessor  Methods  class  Properties  set  Class  Properties  get  Processors  set  Processors  disallow  Inherited  Constructors  set  Disallow  Inherited  Constructors  set  Swift  Friendly  nullability  set  Nullability  default  Nonnull  set  Default  Nonnull  lint  Argument  timing  Level  dump  A  S  T  report  Javadoc  Warnings  translate  Bootclasspath  Files  emit  Kythe  Mappings  set  Emit  Kythe  Mappings  emit  Source  Headers  set  Emit  Source  Headers  external  Annotations  add  External  Annotation  File  translate  Classfiles  set  Translate  Classfiles  entry  Classes  add  Platform  Module  System  Options  get  Platform  Module  System  Options,Translation  Util,type  Util  name  Table  options  element  Util  jre  Emul  Loader Translation  Util  get  Super  Type  get  Interface  Types  needs  Reflection  needs  Reflection  needs  Reflection  needs  Reflection  is  J  Unit  Test  Class  is  J  Unit  Test  Class  is  J  Unit  Test  Class  get  Reflection  Support  Level  On  Package  get  Reflection  Support  Level  retain  Result  is  Assigned  has  Side  Effect  get  Operator  Function  Modifier  create  Object  Array  create  Annotation  create  Annotation  Value  generate  Implementation,1,0
9,contains  Method,Executable  Element  Code  Reference  Map boolean, get  Binary  Name  element  Util  get  Declaring  Class  get  Reference  Name  get  Reference  Signature  contains  Method,Code  Reference  Map,Builder  dead  Classes  dead  Methods  dead  Fields  referenced  Classes  referenced  Methods  referenced  Fields  has  Constructor  Removed  Classes build  add  Class  add  Method  add  Field  builder  Code  Reference  Map  get  Referenced  Classes  get  Referenced  Methods  get  Referenced  Fields  contains  Class  contains  Class  contains  Field  is  Empty  add  Constructor  Removed  Class  class  Has  Constructor  Removed  to  String,Type  Util,id  type  id  ptr  type  ns  object  ns  string  ns  exception  ns  number  ios  class  ns  copying  ns  fastenumeration  ios  object  array  native  char  ptr  primitive  ios  arrays  javac  Elements  javac  Types  element  Util  java  Object  java  String  java  Class  java  Number  java  Throwable  java  To  Objc  Type  Map  inner  class  joiner Type  Util  element  Util  resolve  Java  Type  is  Declared  Type  get  Declared  Type  Kind  is  Class  is  Interface  is  Enum  is  Annotation  is  Boolean  is  Void  is  Primitive  Or  Void  is  None  is  Array  is  Floating  Point  is  Intersection  is  Type  Variable  as  Type  Element  is  Java  Object  as  Type  Parameter  Element  get  Superclass  get  Dimensions  as  Member  Of  as  Member  Of  is  Assignable  is  Subtype  is  Same  Type  is  Subsignature  unary  Numeric  Promotion  binary  Numeric  Promotion  infer  Conditional  Expression  Type  direct  Supertypes  erasure  get  Array  Type  get  Array  Type  is  Generated  Type  get  Ios  Array  get  Java  Object  get  Java  String  get  Java  Class  get  Java  Number  get  Java  Throwable  is  String  is  String  is  Class  Type  is  Class  Type  get  Objc  Class  least  Upper  Bound  get  Objc  Class  find  Supertype  find  Method  get  Objc  Ordered  Inherited  Types  accept  visit  Type  Hierarchy  visit  Type  Hierarchy  Objc  Order  is  Reference  Type  is  Id  get  Primitive  Type  get  Boolean  get  Byte  get  Char  get  Double  get  Float  get  Int  get  Long  get  Short  get  Void  get  Null  resolve  Primitive  Type  unboxed  Type  is  Boxed  Type  boxed  Class  is  Declared  As  Id  is  Objc  Assignable  is  Objc  Subtype  get  Objc  Upper  Bounds  get  Upper  Bounds  get  Name  get  Qualified  Name  get  Signature  Name  get  Binary  Name  get  Method  Descriptor  get  Field  Descriptor  get  Reference  Name  get  Objc  Format  Specifier  get  Reference  Signature  new  Primitive  Ios  Array  is  Stub  Type,0,0
10,contains  Method,Executable  Element  Code  Reference  Map boolean, get  Binary  Name  element  Util  get  Declaring  Class  get  Reference  Name  get  Reference  Signature  contains  Method,Type  Util,id  type  id  ptr  type  ns  object  ns  string  ns  exception  ns  number  ios  class  ns  copying  ns  fastenumeration  ios  object  array  native  char  ptr  primitive  ios  arrays  javac  Elements  javac  Types  element  Util  java  Object  java  String  java  Class  java  Number  java  Throwable  java  To  Objc  Type  Map  inner  class  joiner Type  Util  element  Util  resolve  Java  Type  is  Declared  Type  get  Declared  Type  Kind  is  Class  is  Interface  is  Enum  is  Annotation  is  Boolean  is  Void  is  Primitive  Or  Void  is  None  is  Array  is  Floating  Point  is  Intersection  is  Type  Variable  as  Type  Element  is  Java  Object  as  Type  Parameter  Element  get  Superclass  get  Dimensions  as  Member  Of  as  Member  Of  is  Assignable  is  Subtype  is  Same  Type  is  Subsignature  unary  Numeric  Promotion  binary  Numeric  Promotion  infer  Conditional  Expression  Type  direct  Supertypes  erasure  get  Array  Type  get  Array  Type  is  Generated  Type  get  Ios  Array  get  Java  Object  get  Java  String  get  Java  Class  get  Java  Number  get  Java  Throwable  is  String  is  String  is  Class  Type  is  Class  Type  get  Objc  Class  least  Upper  Bound  get  Objc  Class  find  Supertype  find  Method  get  Objc  Ordered  Inherited  Types  accept  visit  Type  Hierarchy  visit  Type  Hierarchy  Objc  Order  is  Reference  Type  is  Id  get  Primitive  Type  get  Boolean  get  Byte  get  Char  get  Double  get  Float  get  Int  get  Long  get  Short  get  Void  get  Null  resolve  Primitive  Type  unboxed  Type  is  Boxed  Type  boxed  Class  is  Declared  As  Id  is  Objc  Assignable  is  Objc  Subtype  get  Objc  Upper  Bounds  get  Upper  Bounds  get  Name  get  Qualified  Name  get  Signature  Name  get  Binary  Name  get  Method  Descriptor  get  Field  Descriptor  get  Reference  Name  get  Objc  Format  Specifier  get  Reference  Signature  new  Primitive  Ios  Array  is  Stub  Type,Code  Reference  Map,Builder  dead  Classes  dead  Methods  dead  Fields  referenced  Classes  referenced  Methods  referenced  Fields  has  Constructor  Removed  Classes build  add  Class  add  Method  add  Field  builder  Code  Reference  Map  get  Referenced  Classes  get  Referenced  Methods  get  Referenced  Fields  contains  Class  contains  Class  contains  Field  is  Empty  add  Constructor  Removed  Class  class  Has  Constructor  Removed  to  String,1,1
